prefix,opcode_hex,status,mnemonic,bytes,t_states,flags
NONE,00,VALID,"NOP",1,4,------
NONE,01,VALID,"LD BC,nn",3,10,------
NONE,02,VALID,"LD (BC),A",1,7,------
NONE,03,VALID,"INC BC",1,6,------
NONE,04,VALID,"INC B",1,4,***-0-
NONE,05,VALID,"DEC B",1,4,***-1-
NONE,06,VALID,"LD B,n",2,7,------
NONE,07,VALID,"RLCA",1,4,--0-0*
NONE,08,VALID,"EX AF,AF'",1,4,------
NONE,09,VALID,"ADD HL,BC",1,11,--*-0*
NONE,0A,VALID,"LD A,(BC)",1,7,------
NONE,0B,VALID,"DEC BC",1,6,------
NONE,0C,VALID,"INC C",1,4,***-0-
NONE,0D,VALID,"DEC C",1,4,***-1-
NONE,0E,VALID,"LD C,n",2,7,------
NONE,0F,VALID,"RRCA",1,4,--0-0*
NONE,10,VALID,"DJNZ e",2,13,------
NONE,11,VALID,"LD DE,nn",3,10,------
NONE,12,VALID,"LD (DE),A",1,7,------
NONE,13,VALID,"INC DE",1,6,------
NONE,14,VALID,"INC D",1,4,***-0-
NONE,15,VALID,"DEC D",1,4,***-1-
NONE,16,VALID,"LD D,n",2,7,------
NONE,17,VALID,"RLA",1,4,--0-0*
NONE,18,VALID,"JR e",2,12,------
NONE,19,VALID,"ADD HL,DE",1,11,--*-0*
NONE,1A,VALID,"LD A,(DE)",1,7,------
NONE,1B,VALID,"DEC DE",1,6,------
NONE,1C,VALID,"INC E",1,4,***-0-
NONE,1D,VALID,"DEC E",1,4,***-1-
NONE,1E,VALID,"LD E,n",2,7,------
NONE,1F,VALID,"RRA",1,4,--0-0*
NONE,20,VALID,"JR NZ,e",2,12,------
NONE,21,VALID,"LD HL,nn",3,10,------
NONE,22,VALID,"LD (nn),HL",3,16,------
NONE,23,VALID,"INC HL",1,6,------
NONE,24,VALID,"INC H",1,4,***-0-
NONE,25,VALID,"DEC H",1,4,***-1-
NONE,26,VALID,"LD H,n",2,7,------
NONE,27,VALID,"DAA",1,4,**-*-*
NONE,28,VALID,"JR Z,e",2,12,------
NONE,29,VALID,"ADD HL,HL",1,11,--*-0*
NONE,2A,VALID,"LD HL,(nn)",3,16,------
NONE,2B,VALID,"DEC HL",1,6,------
NONE,2C,VALID,"INC L",1,4,***-0-
NONE,2D,VALID,"DEC L",1,4,***-1-
NONE,2E,VALID,"LD L,n",2,7,------
NONE,2F,VALID,"CPL",1,4,--11--
NONE,30,VALID,"JR NC,e",2,12,------
